DOCFEC;DOCSER;DOCNUM;CODALM;CODTER;DTOCAB;BASEBAS;IMPTBAS;RECBAS;FECORD;NUMORD;CODMAQ;MARCAD;FORPAG;PORFIN;RFDPP;PORBAS;OBSERV;FECFAC;NUMFAC;DESHOR;PREHOR;NUMKM;PREKM;TIPVEN;TIPFAC;PRESER;PRENUM;DIETENT;CLABLO;SERFAC;CODOPEGRA;CODOPEAUT;PORREA;KMREA;HORREA;DIETREA
08/11/2007;71;001281;01;891;0;31,5;5,04;0;;;VOLVO A 40;;13;0;0;0;ALBARAN Nº 2408;30/11/2007;001348;0;24,5;0;0,35;R;A;;;0;F;70;AB;AB;0;0;0;0
08/11/2007;71;001282;01;348;0;2,28;0,36;0;;;;;2;0;0;0;ALBARAN Nº 2410;31/12/2007;001473;0;0;0;0;R;P;;;0;F;70;AB;AB;0;0;0;0
08/11/2007;71;001283;01;823;0;5,82;0,93;0;;;;;11;0;0;0;ALBARAN Nº 2411;30/11/2007;001360;0;0;0;0;R;P;;;0;F;70;AB;AB;0;0;0;0
08/11/2007;71;001284;01;837;0;7;1,12;0;;;;;11;0;0;0;ALBARAN Nº 2412;30/11/2007;001328;0;0;0;10;R;P;;;0;F;70;AB;AB;0;0;0;0
08/11/2007;71;001285;01;126;0;6,08;0,97;0;;;;;40;0;0;0;ALBARAN Nº 2413;30/11/2007;001361;0;0;0;0;R;P;;;0;F;70;AB;AB;0;0;0;0
08/11/2007;71;001286;01;90;0;9,99;1,6;0;;;;;40;0;0;0;ALBARAN Nº 2416;30/11/2007;001374;0;0;0;0;R;P;;;0;F;70;AB;AB;0;0;0;0
09/11/2007;71;001287;01;50;0;351,76;56,28;0;;;;;45;0;0;0;Nº PEDIDO 4500065515 POS. Nº 10;15/11/2007;001324;0;0;0;0,35;R;A;;;0;F;70;AB;AB;0;0;0;0
07/11/2007;71;001288;01;48;0;146,84;23,49;0;;;;;13;0;0;0;ALB. Nº 2409;30/11/2007;001353;0;0;0;0;R;P;;;0;F;70;AB;AB;0;0;0;0
09/11/2007;72;000220;01;00;0;8,54;0;0;;;;;0;0;0;0;;09/11/2007;000217;0;0;0;0;R;A;;;0;F;72;AB;AB;0;0;0;0
09/11/2007;72;000221;01;00;0;109,86;0;0;;;;;0;0;0;0;;09/11/2007;000218;0;0;0;0;R;A;;;0;F;72;AB;AB;0;0;0;0
09/11/2007;71;001289;01;996;0;110,37;17,66;0;;;;;40;0;0;0;;30/11/2007;001363;0;0;0;0;R;P;;;0;F;70;AB;AB;0;0;0;0
12/11/2007;71;001290;01;824;0;138;22,08;0;;;;;0;0;0;0;alb. nº 2426;30/11/2007;001354;0;0;0;0;R;P;;;0;F;70;AB;AB;0;0;0;0
08/11/2007;71;001291;01;408;0;43;6,88;0;;;;;11;0;0;0;ALBARAN Nº 2417;30/11/2007;001364;0;0;0;0;R;P;;;0;F;70;AB;AB;0;0;0;0
09/11/2007;71;001292;01;980;0;1,58;0,25;0;;;;;0;0;0;0;ALBARAN Nº 2421;30/11/2007;001355;0;0;0;0;R;P;;;0;F;70;AB;AB;0;0;0;0
12/11/2007;71;001293;01;145;0;6;0,96;0;;;;;0;0;0;0;ALBARAN Nº 2427;30/11/2007;001365;0;0;0;0;R;P;;;0;F;70;AB;AB;0;0;0;0
12/11/2007;71;001294;01;938;0;76,33;12,21;0;;;;;11;0;0;0;ALBARAN Nº 2430;30/11/2007;001356;0;0;0;0;R;P;;;0;F;70;AB;AB;0;0;0;0
