NUMTAR;DOCFEC;DOCSER;DOCNUM;DESTAR;IMPOBRA;IMPMAT;MARCA
01;15/07/2011;22;000324;VTA. DE REPUESTOS;0;34;N
01;15/07/2011;22;000325;VTA. DE REPUESTOS;0;205;N
01;15/07/2011;25;000019;VTA. DE REPUESTOS;0;97,36;N
01;15/07/2011;21;000863;VTA. DE REPUESTOS;0;286,37;N
01;15/07/2011;21;000864;VTA. DE REPUESTOS;0;27,13;N
01;15/07/2011;22;000326;VTA. DE REPUESTOS;0;4,27;N
01;18/07/2011;21;000865;VTA. DE REPUESTOS;0;95,6;N
01;18/07/2011;24;000245;VTA. DE REPUESTOS;0;182,98;N
01;18/07/2011;21;000866;VTA. DE REPUESTOS;0;8,58;N
01;18/07/2011;21;000867;VTA. DE REPUESTOS;0;76,91;N
01;18/07/2011;22;000328;VTA. DE REPUESTOS;0;14,25;N
01;18/07/2011;23;000253;VTA. DE REPUESTOS;0;137,58;N
01;18/07/2011;23;000254;VTA. DE REPUESTOS;0;23,45;N
01;18/07/2011;23;000255;VTA. DE REPUESTOS;0;701,99;N
01;18/07/2011;24;000246;VTA. DE REPUESTOS;0;452,2;N
01;18/07/2011;21;000869;VTA. DE REPUESTOS;0;8,54;N
01;19/07/2011;22;000329;VTA. DE REPUESTOS;0;17,04;N
01;19/07/2011;21;000871;VTA. DE REPUESTOS;0;59,01;N
01;19/07/2011;24;000247;VTA. DE REPUESTOS;0;30,8;N
01;19/07/2011;24;000248;VTA. DE REPUESTOS;0;691,77;N
01;13/07/2011;22;000331;FALLO DE MOTOR;252;0;S
01;19/07/2011;22;000332;VTA. DE REPUESTOS;0;95;N
01;19/07/2011;22;000333;VTA. DE REPUESTOS;0;3,89;N
01;19/07/2011;21;000872;VTA. DE REPUESTOS;0;1,6;N
01;19/07/2011;21;000873;VTA. DE REPUESTOS;0;72,2;N
01;19/07/2011;21;000874;VTA. DE REPUESTOS;0;12;N
01;19/07/2011;21;000870;VTA. DE REPUESTOS;0;5,16;N
01;19/07/2011;22;000334;VTA. DE REPUESTOS;0;10,91;N
01;20/07/2011;23;000256;VTA. DE REPUESTOS;0;49,3;N
01;20/07/2011;21;000875;VTA. DE REPUESTOS;0;57,38;N
01;20/07/2011;21;000876;VTA. DE REPUESTOS;0;70,69;N
01;20/07/2011;22;000335;VTA. DE REPUESTOS;0;27,11;N
01;20/07/2011;21;000877;VTA. DE REPUESTOS;0;17,26;N
01;20/07/2011;21;000878;VTA. DE REPUESTOS;0;36,7;N
01;20/07/2011;25;000020;VTA. DE REPUESTOS;0;26,17;N
01;20/07/2011;23;000257;VTA. DE REPUESTOS;0;368,76;N
01;20/07/2011;21;000879;VTA. DE REPUESTOS;0;12,74;N
01;20/07/2011;21;000880;VTA. DE REPUESTOS;0;32,92;N
01;20/07/2011;21;000881;VTA. DE REPUESTOS;0;36,52;N
01;20/07/2011;22;000336;VTA. DE REPUESTOS;0;8,04;N
01;20/07/2011;21;000882;VTA. DE REPUESTOS;0;34,22;N
01;20/07/2011;21;000883;VTA. DE REPUESTOS;0;455;N
01;20/07/2011;21;000884;VTA. DE REPUESTOS;0;267,07;N
01;20/07/2011;24;000249;VTA. DE REPUESTOS;0;97,49;N
01;20/07/2011;21;000885;VTA. DE REPUESTOS;0;28,91;N
01;21/07/2011;21;000886;VTA. DE REPUESTOS;0;75,64;N
01;21/07/2011;21;000887;VTA. DE REPUESTOS;0;7,06;N
01;21/07/2011;22;000337;VTA. DE REPUESTOS;0;4,25;N
01;21/07/2011;24;000250;VTA. DE REPUESTOS;0;17,06;N
01;21/07/2011;24;000251;VTA. DE REPUESTOS;0;132,01;N
01;21/07/2011;21;000888;VTA. DE REPUESTOS;0;115,3;N
01;21/07/2011;21;000889;VTA. DE REPUESTOS;0;68,59;N
01;30/06/2011;24;000252;VTA. DE REPUESTOS GRUPO SANDO HASTA 30 DE JUNIO 2011;0;1220,07;N
01;21/07/2011;21;000890;VTA. DE REPUESTOS;0;286,91;N
01;21/07/2011;21;000891;VTA. DE REPUESTOS;0;16,5;N
01;21/07/2011;22;000338;VTA. DE REPUESTOS;0;14;N
01;21/07/2011;21;000892;VTA. DE REPUESTOS;0;38,06;N
01;22/07/2011;23;000258;VTA. DE REPUESTOS;0;84,73;N
01;22/07/2011;21;000894;VTA. DE REPUESTOS;0;84,99;N
01;22/07/2011;23;000259;VTA. DE REPUESTOS;0;157;N
01;22/07/2011;25;000021;VTA. DE REPUESTOS;0;72,95;N
01;22/07/2011;21;000895;VTA. DE REPUESTOS;0;139,54;N
01;22/07/2011;25;000022;VTA. DE REPUESTOS;0;65,6;N
01;22/07/2011;22;000339;VTA. DE REPUESTOS;0;6,09;N
01;23/07/2011;22;000340;VTA. DE REPUESTOS;0;517,34;N
01;25/07/2011;21;000896;VTA. DE REPUESTOS;0;183,6;N
01;25/07/2011;21;000897;VTA. DE REPUESTOS;0;5,94;N
01;25/07/2011;24;000253;VTA. DE REPUESTOS;0;2514,47;N
01;25/07/2011;21;000898;VTA. DE REPUESTOS;0;16,21;N
01;25/07/2011;24;000254;VTA. DE REPUESTOS;0;404,14;N
01;25/07/2011;21;000899;VTA. DE REPUESTOS;0;14,71;N
01;25/07/2011;21;000900;VTA. DE REPUESTOS;0;11,36;N
01;25/07/2011;23;000260;VTA. DE REPUESTOS;0;122,41;N
01;25/07/2011;21;000901;VTA. DE REPUESTOS;0;196,7;N
01;25/07/2011;21;000902;VTA. DE REPUESTOS;0;181;N
01;25/07/2011;21;000903;VTA. DE REPUESTOS;0;15,34;N
01;26/07/2011;22;000342;VTA. DE REPUESTOS;0;27;N
