NUMTAR;CODALM;CODPDT;DESPDT;DOCFEC;DOCSER;DOCNUM;CANFACT;CANREAL;DTOMAT;CODMOD;PORIMP;PORREC;PVP;LINMATE;MARCA
01;01;0S1588;TORNILLO W. 3/8-16 X 1.1/4;25/09/2008;81;000974;4;4;15;01;16;4;0,58;00010;N
01;01;4903-096;BATERIA 70 AH +D;25/09/2008;82;000304;1;1;33,34;;;;72,75;00005;N
01;01;3511-06;MANGUERA R2AT 3/8;25/09/2008;81;000975;7;7;20;01;16;4;8,35;00005;N
01;01;3300-06;CASQUILLO R1AT R2AT;25/09/2008;81;000975;2;2;20;01;16;4;0,8;00010;N
01;01;22511-06-06;ESPIGA RECTA T.L. JIC 3/8;25/09/2008;81;000975;2;2;20;01;16;4;1,25;00015;N
01;01;3511-06;MANGUERA R2AT 3/8;25/09/2008;81;000975;7;7;20;01;16;4;8,35;00020;N
01;01;3300-06;CASQUILLO R1AT R2AT;25/09/2008;81;000975;2;2;20;01;16;4;0,8;00025;N
01;01;22511-06-06;ESPIGA RECTA T.L. JIC 3/8;25/09/2008;81;000975;2;2;20;01;16;4;1,25;00030;N
01;01;09NRA4G/10;ENCHUFE RAPIDO HEMBRA MANG. 10;25/09/2008;81;000976;4;4;15;01;16;4;9,24;00005;N
01;01;4903-065;BATERIA 60 AH POSITIVO DRCH.;25/09/2008;82;000305;1;1;20;;;;56,18;00005;N
01;01;4905-6206;RODAMIENTO DEL 6206 2RS1;25/09/2008;82;000306;2;2;20;;;;16,73;00005;N
01;01;1874-26;ANILLA SEGURIDAD EXTERIOR;25/09/2008;82;000306;2;2;20;;;;0,39;00010;N
01;01;662-04-04;HEMBRA FIJA DOBLE RECTA;26/09/2008;81;000977;5;5;0;01;16;4;1,54;00005;N
01;01;1872-8;ARANDELAS GROWER 8 MM.;26/09/2008;82;000307;4;4;0;;;;0,15025;00005;N
01;01;9F6641;TORNILLO ALLEN  5/16 - 18 X 1 1/4;26/09/2008;82;000307;4;4;0;;;;0,408;00010;N
01;01;413.367;CIERRE MECANICO 57 X 32 X 10;26/09/2008;82;000308;1;1;20;;0;0;8,62;00005;N
01;01;413.243;CIERRE MECANICO COMPACTO 28 X 54 X 15;26/09/2008;82;000308;1;1;20;;;;18,42;00010;N
01;01;4903-063;BATERIA 45 AH  + DRCH;26/09/2008;81;000978;1;1;20;01;16;4;44,61;00005;N
01;01;3511-04;MANGUERA R2AT 1/4;26/09/2008;81;000979;7;7;20;01;16;4;6,85;00005;N
01;01;3300-04;CASQUILLO R1AT 1/4;26/09/2008;81;000979;2;2;20;01;16;4;0,65;00010;N
01;01;10510-04-04;ESPIGA RECTA BSP 1/4-1/4;26/09/2008;81;000979;2;2;20;01;16;4;1,25;00015;N
01;01;7621-04-04;ENCHUFE RAPIDO PARTE HEMBRA 1/4;26/09/2008;81;000979;1;1;20;01;16;4;12,87;00020;N
01;01;7622-04-04;ENCHUFE RAPIDO PARTE MACHO 1/4;26/09/2008;81;000979;1;1;20;01;16;4;5,85;00025;N
01;01;697-4-4;ARANDELA METAL GOMA 1/4;26/09/2008;81;000979;2;2;20;01;16;4;0,23;00030;N
01;01;2X11;TORICA NITRILO;26/09/2008;82;000309;1;1;20;;;;0,9;00005;N
01;01;2X17;TORICA NITRILO;26/09/2008;82;000309;1;1;20;;;;0,9;00010;N
01;01;2X3;TORICA NITRILO;26/09/2008;82;000309;1;1;20;;;;0,99;00015;N
01;01;1.78X28.30;TORICA NITRILO;26/09/2008;82;000309;3;3;20;;;;0,95;00020;N
01;01;4900-707;REPARACION CUBIERTA 225/65 R16;26/09/2008;81;000980;1;1;0;01;16;4;40;00005;N
