CODOPER;DOCFEC;DOCSER;DOCNUM;DESCOP;HORACAN;DTOOBR;CODMOD;PORIMP;PORREC;PRETAR;NUMTAR;LINOBRA
800;30/12/1998;98;000022;DESPLAZAMIENTO A FABRICA DESMONTAR BOTELLAS PARA SU REPARACION EN TALLER.;12;0;01;16;4;21,63644;01;005
101;30/12/1998;98;000022;DESMONTAR BOTELLAS, COLOCACION DE CAMISAS Y KIT DE REPARACION Y MONTAJE DE LAS MISMAS PARA COLOCACION EN MAQUINA.;24;0;01;16;4;21,63644;01;010
800;30/12/1998;98;000022;DESPLAZAMIENTO A FABRICA PARA COLOCACION DE BOTELLAS EN MAQUINA.;12;0;01;16;4;21,63644;01;015
101;30/12/1998;98;000023;SUSTITUCION DE POLEAS Y CORREAS EN TALLER;40,1;0;01;16;4;21,63644;01;005
101;01/01/1999;98;000024;DESMONTAR CHAPONES DE CARENAJE  Y LIMPIEZA DE LA MISMA.;16;0;01;16;4;21,63644;01;005
101;01/01/1999;98;000024;SOLTAR CADENAS, DESMONTAR CARROS, RODILLOS, GUIAS, SOPORTES ANTIDESGASTES, TENSORES Y RUEDAS GUIA.
MONTAJE DE RODILLOS NUEVOS, GUIAS, SOPORTES ANTIDESGASTE Y TENSORES.;140;0;01;16;4;21,63644;02;005
101;01/01/1999;98;000024;DESPIEZAR RUEDAS GUIA, COLOCACION DE COMPONENTES NUEVOS Y MONTAJE EN CARRO;32;0;01;16;4;21,63644;03;005
101;01/01/1999;98;000024;DESMONTAR ENFRIADOR Y TUBERIAS , COLOCACION DE ENFRIADOR NUEVO.;4;0;01;16;4;21,63644;04;005
101;01/01/1999;98;000024;DESMONTAR CERROJOS PARA SU LAPEADO Y CROMADO;10;0;01;16;4;21,63644;05;005
800;01/03/1999;99;000002;MONTAJE EN MAQUINA DE CENTRAL;10;0;01;16;4;21,03542;01;005
800;31/03/1999;99;000004;SACAR MOTOR DE MAQUINA PARA REPARACION EN TALLER Y MONTAJE DEL MISMO EN MAQUINA ;24;0;01;16;4;23,31927;01;005
101;25/05/1999;99;000006;REPARACION DE ARBOL DE DIRECCION ;35;0;01;16;4;21,63644;01;005
101;25/05/1999;99;000006;DESMONTAR TAMBORES Y TORNEAR, COLOCACION DE ZAPATAS A MEDIDA, BOMBA Y BOMBINES DE FRENOS.;18;0;01;16;4;21,63644;02;005
101;25/05/1999;99;000006;REPARACION DE FUGAS DE ACEITE DE MOTOR POR BALANCINES Y BOMBA  ALIMENTADORA;4;0;01;16;4;21,63644;03;005
101;25/05/1999;99;000006;REPARACION DE FUGAS.;6;0;01;16;4;21,63644;04;005
800;03/06/1999;99;000007;SUSTITUCION DE  COMPRESOR, FILTRO DE SECADO, TUBERIAS Y CARGA DEL MISMO.;16;0;01;16;4;23,31927;01;005
101;25/10/1999;99;000010;SUSTITUCION DE EMPAQUETADURAS ;10;0;01;16;4;21,63644;02;005
101;25/10/1999;99;000010;SUSTITUCION DE DISTRIBUIDOR;30;0;01;16;4;21,63644;03;005
101;25/10/1999;99;000010;SUSTITUCION DE VALVULA;3;0;01;16;4;21,63644;04;005
101;25/10/1999;99;000010;COMPROBACION,DESPIECE, COLOCACION DE KITS DE REPARACION, MONTAJE Y AJUSTE DE PRESIONES.;225;0;01;16;4;21,63644;05;005
101;25/10/1999;99;000010;COLOCACION DE JUNTA Y RETENES DE CIGUEÑAL;15;0;01;16;4;21,63644;06;005
101;25/10/1999;99;000010;MODIFICACION DE AIRE ACONDICIONADO Y REPARACION ;28;0;01;16;4;21,63644;07;005
101;25/10/1999;99;000010;SUSTITUCION DE CRISTAL;6;0;01;16;4;21,63644;08;005
101;25/10/1999;99;000010;SUSTITUCION DE FAROS ROTOS;10;0;01;16;4;21,63644;10;005
101;16/12/1999;99;000011;DESMONTAR CHAPONES DE CARENAJE , FONDO , LEVANTAR CABINA Y LIMPIEZA DE MAQUINA;16;0;01;16;4;21,63644;01;005
101;16/12/1999;99;000011;REPARACION DE MOTOR;140;0;01;16;4;21,63644;02;005
101;16/12/1999;99;000011;DESMONTAR CADENAS , CARROS , DESPIECE , LIMPIEZA , SOLDADURA , SACAR TORNILLOS PARTIDOS , RECUPERACION DE LOS MISMOS , COLOCACION DE RODILLOS , GUIAS , SOPORTES Y ANTIDESGASTES ;140;0;01;16;4;21,63644;03;005
101;16/12/1999;99;000011;ES ACONSEJABLE REVISION DE REDUCTORES POR DESGASTE EN PROCTECTORES DE DUOCONO ( EN ESTA PARTIDA NO DAMOS PRESUPUESTO);1;0;01;16;4;0;03;010
101;16/12/1999;99;000011;REPARACION DE PROCTETORES DE CILINDRO DE VOLTEO , CAMBIO DE EMPAQUETADURAS DE LOS MISMOS Y ELEVACION ;30;0;01;16;4;21,63644;13;005
101;16/12/1999;99;000011;DESMONTAR VARILLAS RETENES , RODAMIENTOS , MUELLES Y MONTAJE DE NUEVOS   ;16;0;01;16;4;21,63644;14;005
101;16/12/1999;99;000011;DESMONTAR COMPUERTAS , SOLDADURA , COLOCACION DE CERRADURAS , GOMAS Y MONTAJE DE LAS MISMAS;22;0;01;16;4;21,63644;15;005
101;16/12/1999;99;000011;SUSTITUCION DE FAROS;10;0;01;16;4;21,63644;16;005
101;16/12/1999;99;000011;QUITAR CUADRO , DESPIESE DE INDICADORES , COLOCACION DE CARCASA , GOMAS Y MONTAJE DEL MISMO;10;0;01;16;4;21,63644;17;005
101;16/12/1999;99;000011;DESMONTAR TACOS AMORTIGUADOR , SOPORTES Y MONTAJE DE NUEVOS;16;0;01;16;4;21,63644;18;005
101;16/12/1999;99;000011;DESMONTAR RUEDA , COLOCACION DE COMPONENTES NUEVOS Y MONTAJE;32;0;01;16;4;21,63644;11;005
101;16/12/1999;99;000011;NO ESTA INCLUIDO RECTIFICADO DE CIGUENAL , CULATA , BLOQUE Y REPARACION BOMBA INYECTORA;1;0;01;16;4;0;02;010
101;16/12/1999;99;000013;SACAR MOTOR DESPIECE LIMPEZA, COLOCAR EQUIPOS NUEVOS, KIT DE REPARACION JUNTAS DE TURBO, BOMBA DE AGUA, ENFRIADORES Y MOTOR. RECTIFICADO DE ASIENTOS DE VALVULAS, ESMERILADO. COLOCAR BOMBA DE ACEITE Y VALVULAS. REVISION DE BOMBA INYECTORA E INYECTORES, ;140;0;01;16;4;21,63644;01;005
101;16/12/1999;99;000013;REPARACION DE INSTALCION ELECTRICA Y REVISION DE MOTOR DE ARRANQUE Y ALTERNADOR;1;0;01;16;4;0;01;010
101;16/12/1999;99;000013;NO ESTA INCLUIDO EN EL PRESUPUESTO EL RECTIFICADO DE CIGUEÑAL, CULATA Y BLOQUE SI FUERE NECESARIO;1;0;01;16;4;0;01;015
101;16/12/1999;99;000011;REPARACION DE INSTALACION ELECTRICA Y REVISION DE MOTOR DE ARRANQUE Y ALTERNADOR;1;0;01;16;4;0;02;015
101;08/09/2000;00;000004;DESMONTAR TRANSMISION, DESPIECE DE LA MISMA , REPARACION MONTAJE Y COLOCACION EN MAQUINA;80;0;01;16;4;20,28416;04;005
