CODOPER;DOCFEC;DOCSER;DOCNUM;DESCOP;HORACAN;DTOOBR;CODMOD;PORIMP;PORREC;PRETAR;NUMTAR;LINOBRA
800;21/04/2009;91;000068;COMPROBACION DE DESCARGA DE GASOIL;2;0;01;16;4;30;03;005
800;21/04/2009;91;000070;DESPLAZAMIENTO A FABRICA, QUITAR CHAPONES DE TRANSMISION Y MOTOR, LIMPIEZA Y COLOCACION, REVISION DE NIVELES Y REPARACION DE SISTEMA DE ENGRASE AUTOMATICO;26;0;01;16;4;28;01;005
800;22/04/2009;91;000071;DESPLAZAMIENTO  A FABRICA, CAMBIO DE ACEITE Y FILTROS 250 H. SUSTITUIR CUCHILLAS Y CANTONERAS.;18;0;01;16;4;28;01;005
800;23/04/2009;91;000074;DESPLAZAMIENTO A FABRICA, REVISION DE MAQUINA Y SUSTITUIR SENSOR DE TEMPERATURA.;6;0;01;16;4;28;01;005
101;29/04/2009;91;000075;DESMONTAR ARTICULACION CENTRAL , COLOCACION DE RODAMIENTOS , RETENES , BULONES Y MONTAJE;80;0;01;16;4;26;01;005
800;30/04/2009;91;000076;DESPLAZAMIENTO A CANTERA, CAMBIAR INYECTORES, QUITAR CAPO DE MAQUINA CARENAJES Y TAPA BALANCINES DE MOTOR, BALANCINES, INYECTORES, AJUSTE DE VALVULAS Y SUSTITUCION DE BOMBA INYECTORA.;32;0;01;16;4;28;01;005
800;24/04/2009;91;000077;DESPLAZAMIENTO A FABRICA,  DESMONTAR ASIENTO Y CHAPONES DE SUELO PARA SUSTUTIR CABLES DE MANDOS DE VELOCIDADES Y MONTAJE;18;0;01;16;4;28;01;005
800;30/04/2009;91;000078;DESPLAZAMIENTO A FABRICA, REPARACION DE INSTALACION ELECTRICA Y REVISAR OTRAS MAQUINA;9;0;01;16;4;28;01;005
800;04/05/2009;91;000079;DESPLAZAMIENTO A CANTERA, LIMPIEZA DE AGUILON, BALANCIN, BOTELLAS HDCAS. DE LAS MISMAS Y MONTAJE DE IMPLEMENTOS Y CAZO EN MAQUINA. LIMPIEZA Y REPARACION DE MATERIAL;72;0;01;16;4;28;01;005
101;06/05/2009;91;000081;DESPLAZAMIENTO A CANTERA PARA CAMBIO DE ACEITE Y FILTROS 250 H.;1;0;01;16;4;328;01;005
800;06/05/2009;91;000082;DESPLAZAMIENTO A CANTERA, DESMONTAR BOTELLA, SUSTITUIR COJINETE Y MONTAJE;1;0;01;16;4;305;01;005
101;07/05/2009;91;000083;DESMONTAR GIRO Y CILINDROS , COLOCACION DE JUEGOS REPARACION Y MONTAJE;12;0;01;16;4;28;01;005
101;08/05/2009;91;000084;REPARACION DE CAPO COMPLETO , PINTURA , PEGATINAS;1;0;01;16;4;1200;01;005
101;08/05/2009;91;000084;REPARACION  GUARDABARRO , ESCALERILLAS Y CHAPAS DE PLATAFORMA;1;0;01;16;4;600;01;010
101;08/05/2009;91;000084;REPARACION DE TANQUE HIDRAULICO , COLOCACION DE TUBERIAS DE TANQUE Y ACCESORIOS ;1;0;01;16;4;1680;01;015
101;08/05/2009;91;000084;DESMONTAR TANQUE HIDRAULICO  ,  ACCESORIOS Y TRASLADO AL TALLER .  MONTAJE DE TANQUE  , CAPO , GUALDABARRO , CHASPAS PLATAFORMA , ESCALERILLAS , HACER NIVEL HIDRAULICO , COLOCACION DE FILTRO , ARRANQUE DE MAQUINA Y PRUEBA DE LA MISMA  ;50;0;01;16;4;28;02;005
800;08/05/2009;91;000086;SUSTITUCION TACO VALVULA HIDRAULICO;5;0;01;16;4;26;01;005
800;04/05/2009;91;000087;DESPLAZAMIENTO A FABRICA, DESMONTAR TUBERIA HIDRAULICA, CONSTRUCCION DE NUEVA Y COLOCACION EN MAQUINA;16;0;01;16;4;28;01;005
800;05/05/2009;91;000088;DESPLAZMIENTO A FABRICA, DESMONTAR TUBERIA DE ENGRASE, CONTRUCCION DE NUEVA Y COLOCACION, REVISION DE LUCES, FILTROS Y NIVELES A MAQUINAS;16;0;01;16;4;28;01;005
101;11/05/2009;91;000090;REPARACION DE CAPO COMPLETO, PINTURA, PEGATINAS;1;0;01;16;4;1200;01;005
101;11/05/2009;91;000090;REPARACION GUARDABARRO, ESCALERILLAS Y CHAPAS PLATAFORMA;1;0;01;16;4;600;01;010
101;11/05/2009;91;000090;REPARACION DE TANQUE HIDRAULICO, COLOCACION DE TUBERIAS DE TANQUE Y ACCESORIOS;1;0;01;16;4;1680;01;015
800;11/05/2009;91;000090;DESMONTAR TANQUE HIDRAULICO, ACCESORIOS Y TRASALDO AL TALLER, MONTAJE DE TANQUE, CAPO, GUALDABARRO, HACER NIVEL DE HIDRAULICO, COLOCACION DE FILTRO, ARRANQUE DE MAQUINA Y PRUEBA DE LA MISMA;50;0;01;16;4;28;02;005
101;11/05/2009;91;000091;REPARACION DE CAPO COMPLETO, PINTURA, PEGATINAS.;1;0;01;16;4;1200;01;005
101;11/05/2009;91;000091;REPARACION DE GUARDABARRO, ESCALERILLA Y CHAPA PLATAFORMA.;1;0;01;16;4;600;01;010
101;11/05/2009;91;000091;COLOCACION DE TUBERIAS DE TANQUE Y ACCESORIOS ;1;0;01;16;4;1456;01;015
800;11/05/2009;91;000091;DESMONTAR TANQUE HIDRAULICO, ACCESORIOS Y TRASALDO AL TALLER, MONTAJE DE TANQUE, CAPO, GUALDABARRO, HACER NIVEL DE HIDRAULICO, COLOCACION DE FILTRO, ARRANQUE DE MAQUINA Y PRUEBA DE LA MISMA.;50;0;01;16;4;28;02;005
101;11/05/2009;91;000092;REPARACION DE CAPO COMPELTO, PINTURA, PEGATINAS;1;0;01;16;4;1200;01;005
101;11/05/2009;91;000092;REPARACION GUARDABARRO, ESCALERILLAS Y CHAPAS DE PLATAFORMA;1;0;01;16;4;600;01;010
101;11/05/2009;91;000092;COLOCACION DE TUBERIAS DE TANQUE Y ACCESORIOS;1;0;01;16;4;1456;01;015
800;11/05/2009;91;000092;DESMONTAR TANQUE HIDRAULICO, ACCESORIOS Y TRASLADO AL TALLER, MONTAJE DE TANQUE, CAPO, GUALABARRO, HACER NIVEL DE HIDRAULICO, COLOCACION DE FILTRO, ARRANQUE DE MAQUINA Y PRUEBA DE LA MISMA.;50;0;01;16;4;28;02;005
101;11/05/2009;91;000093;REPARACION DE CAPO COMPLETO, PINTURA, PEGATINAS;1;0;01;16;4;1200;01;005
101;11/05/2009;91;000093;REPARACION GUARDABARRO, ESCALERILLAS Y CHAPAS PLATAFORMA;1;0;01;16;4;600;01;010
101;11/05/2009;91;000093;REPARACION DE TANQUE HIDRAULICO, COLOCACION DE TUBERIAS DE TANQUE Y ACCESORIOS;1;0;01;16;4;1680;01;015
800;11/05/2009;91;000093;DESMONTAR TANQUE HIDRAULICO, ACCESORIOS Y TRASLADO AL TALLER, MONTAJE DE TANQUE, CAPO, GUALDABARRO, HACER NIVEL DE HIDRAULICO, COLCOACION DE FILTRO, ARRANQUE DE MAQUINA Y PRUEBA DE LA MISMA.;50;0;01;16;4;28;02;005
101;11/05/2009;91;000090;ADPATACION CADENAS;1;0;01;16;4;367,44;01;020
800;06/05/2009;91;000095;DESPLAZAMIENTO A FABRICA, COMPROBAR Y SUSTITUIR MOTOR DE ARRANQUE, SUSTITUIR INTERRUPOR DE BOMBA DE ENGRASE Y SUSTITUIR RELEX DE LUCES TRASERAS;8;0;01;16;4;28;01;005
800;11/05/2009;91;000096;DESPLAZAMIENTOA  FABRICA PARA CABIO DE ACEITE Y FILTROS 1000 H Y REVISION DE MAQUINA;20;0;01;16;4;28;01;005
800;08/05/2009;91;000097;DESPLAZAMIENTO A FABRICA, CAMBIO DE ACEITE Y FILTROS 250 H CAMBIOAR FILTRO AIRE 1ª ,CORREGIR PERDIDAS DE ACEITE;18;0;01;16;4;28;01;005
800;18/05/2009;91;000098;DESPLAZAMIENTO A TERMINAL PARA SUSTITUCION DE TOBERAS.;16;0;01;16;4;28;01;005
800;14/05/2009;91;000100;DESPLAZAMEIENTO A FABRICA, REPARACION DE CRISTAL DE PUERTA IZQUIERDA, LIMPIEZA DE FILTROS DE AIRE.;9;0;01;16;4;28;01;005
800;14/05/2009;91;000102;DESPLAZAMIENTO A FABRICA, COMPROBAR LUCES DELANTERAS Y SUSTITUIR RELEX. CORREGIR FALLO LUZ CUADRO HIDRAULICO. REPARASR NIVELES Y LIMPIEZA DE FILTROS.;9;0;01;16;4;28;01;005
800;18/05/2009;91;000103;DESPLAZAMIENTO A FABRICA, LOCALIZACION DE FALLO EN CABLES DE ARRANQUE Y REPARACION. REVISION DE NIVELES Y LIMPIEZA DE FILTROS A MAQUINARIA MOVIL;6;0;01;16;4;28;01;005
800;15/05/2009;91;000104;COLOCACION DE ELECTROVENTILADORES , COMPRESOR , FILTRO SECADO , TERMOSTATO , TORICOS , VALVULAS DE CARGA Y CARGA DE GAS , TINTA Y ACEITE COMPRESOR;4;0;01;16;4;26;01;005
800;20/05/2009;91;000106;DESPLAZAMIENTO A FABRICA, SUSTITUIR RUEDA DELANTERA DERECHA PINCHADA Y LIMPIEZA DE FILTROS.;8;0;01;16;4;28;01;005
800;25/05/2009;91;000107;DESPLAZAMIENTO A FABRICA, CORREGIR PERDIDAS DE ACEITE, SUSTITUIR LATIGUILLOS . REPARACION DE GUARDABARROS Y SUSTITUIR TORNILLOS PARTIDOS DE COGIDA BULON DE ELEVACION;26;0;01;16;4;28;01;005
800;28/05/2009;91;000112;DESPLAZAMIENTO A FABRICA, CAMBIO  DE ACEITE Y FILTROS 500 H Y REVISION DE NIVELES Y FILTROS A MAQUINARIA MOVIL.;8;0;01;16;4;28;01;005
101;29/05/2009;91;000113;DESMONTAJE DE REDUCTOR, DISCOS , CALIMAS Y BOMBA DE FRENO.
REPARACIÓN DE BOMBA DE FRENO.
MONTAJE DE BOMBA,  DISCOS DE FRENO, CALIMAS DE FRENO, JUEGO DE JUNTAS, PASTILLAS DE FRENO Y  LOS RETENES DEL DIFERENCIAL.
REPOSICIÓN DE ACEITES Y LIQUIDO DE FRENO,;80;0;01;16;4;26;01;005
800;02/06/2009;91;000115;DESPLAZAMIENTO A FABRICA, CAMBIO DE ACEITE Y FILTROS 250 H. Y REVISION DE MAQUINAS Y QUITAR BARANDILLAS PARA SU REPARACION EN TALLER Y COLOCACION DE LAS MISMAS UNA VEZ REPARADAS;12;0;01;16;4;28;01;005
800;04/06/2009;91;000116;DESPLAZAMIENTO A FABRICA, SUSTITUIR MODULO DE PANAL DE RADIADOR Y HACER NIVEL DE REFRIGERANTE;9;0;01;16;4;28;01;005
101;28/05/2009;91;000110;ACOPLAMIENTO AIRE ACONDICIONADO;12;0;01;16;4;28;01;005
800;05/06/2009;91;000119;DESPLAZAMIENTO A SUS INSTALACIONES , DESMONTAR , SACAR  MOTOR DE MAQUINA Y COLOCACION UNA VEZ REPARADO;40;0;01;16;4;28;01;005
101;05/06/2009;91;000119;DESPIECE DE MOTOR , LIMPIEZA Y COLOCACION DE JUEGOS  REPARACION Y MONTAJE ;80;0;01;16;4;28;02;005
101;04/06/2009;91;000118;REPARACION DE LUNA DELANTERA, PUERTAS LATERALES , CHAPA BATERIA IZQUIERDA Y TAPA FILTRO A/A NUEVAS , PILOTOS TRASEROS, INTERMITENTES , FAROS , LUZ GIRATORIA , AVISADOR ACUSTICO MARCHA ATRAS ,;100;0;01;16;4;28;01;005
101;04/06/2009;91;000118;CERRADURA PUERTA , ASIENTO NUEVO, ESCOBILLAS LIMPIAPARABRISAS , ESPEJOS RETROVISORES ,;1;0;01;16;4;0;01;010
101;04/06/2009;91;000118;REPARACION BOTELLAS ELEVACION , VOLTEO , CORREGUIR SALIDEROS ACEITES Y;1;0;01;16;4;0;01;015
101;04/06/2009;91;000118;MANTENIMIENTO 2000 HORAS;1;0;01;16;4;0;01;020
800;08/06/2009;91;000122;DESPLAZAMIENTO A FABRICA, REVISION DE NIVELES, A MAQUINARIA MOVIL;10;0;01;16;4;28;01;005
800;15/06/2009;91;000123;DESPLAZAMIENTO A FABRICA, REVISION DE NIVELES, LIMPIEZA DE FILTROS, SUSTITUIR DEFECTUOSOS DE LA MAQUINARIA MOVIL;12;0;01;16;4;28;01;005
800;17/06/2009;91;000124;DESMONTAR SOPORTE SOLENOIDE BOMBA INYECTORA, SOLDADURA DEL MISMO Y MONTAJE.;6;0;01;16;4;28;01;005
800;17/06/2009;91;000125;DESPLAZAMIENTO A FABRICA, DESMONTAR TUBERIAS Y CHAPAS DE CILINDROS DE DIRECCION Y VOLTEO. DESBLOQUEO DE FRENO DE MANO, CALZADO DE MAQUINA PARA SU TRASLADO AL PUNTO LIMPIO.;14;0;01;16;4;28;01;005
800;25/06/2009;91;000126;DESPLAZAMIENTO A FABRICA, CAMBIO DE ACEITE Y FILTROS 250 H., REVISION DE NIVELES A MAQUINARIA Y LIMPIEZA;12;0;01;16;4;28;01;005
800;26/09/2009;91;000127;DESPLAZAMIENTO A FABRICA, REVISION Y COMPROBACION DE SENSORES DE CORTE DE ELEVACION PALA, DESPLAZ. Y SUSTITUCION DE SENSOR E INTERRUPTOR DEFECTUOSOS. REGULACION Y CALIBRACION DEL MISMO.;14;0;01;16;4;28;01;005
800;29/06/2009;91;000128;DESPLAZAMIENTO A FABRICA, CAMBIO DE ACEITE Y FILTROS 500 H. REVISION DE MAQUINARIA Y HACER NIVELES;8;0;01;16;4;28;01;005
800;30/06/2009;91;000129;DESPLAZAMIENTO A FABRICA, REVISIOND E AIRE ACONDICIONADO Y SUSTITUIR CORREAS. DESPLAZAMIENTO SACAR BULONES DE ARTICULACION Y PALA, SUAVIZAR Y ENGRASE;12;0;01;16;4;28;01;005
800;06/07/2009;91;000130;DESPLAZAMIENTO A FABRICA, CAMBIO DE ACEITE Y FILTROS 2000  H. Y REVISION DE MAQUINARIA MOVIL;20;0;01;16;4;28;01;005
101;10/07/2009;91;000131;DESPIECE DE MOTOR , LIMPIEZA Y COLOCACION DE JUEGOS  REPARACION Y MONTAJE ;100;0;01;16;4;28;02;005
101;14/07/2009;91;000134;SACAR MOTOR Y TRANSMISION , DESPIECE DE LA MISMA , LIMPIEZA PARA REVISAR PIEZAS DEFECTUOSAS;60;0;01;16;4;26;01;005
800;09/07/2009;91;000144;DESPLAZAMIENTO A FABRICA, COMPROBAR AIRE AC. DESMONTAR CONJUNTO DE LA CALEFACCION, LIMPIEZA DE RADIADORES, CARGAR AIRE AC. REVISION DE LUCES Y HACER NIVELES.;6;0;01;16;4;28;01;005
800;09/07/2009;91;000145;DESMONTAR CUADRO DE MANDOS, SUSTUTIR LAMPARAS, REVISION DE LUCES Y SUSTITUIR ABRAZADERAS AL TURBO;4;0;01;16;4;28;01;005
800;16/07/2009;91;000146;DESPLAZAMIENTO A FABRICA, CAMBIO DE ACEITE Y FILTROS 250 H., REVISION DE MAQUINARIA MOVIL;6,5;0;01;16;4;28;01;005
800;20/07/2009;91;000147;DESPLAZAMIENTO A FABRICA, CAMBIO DE ACEITE Y FILTROS 1000 H;14;0;01;16;4;28;01;005
800;28/07/2009;90;000001;DESPLAZAMIENTO A FABRICA, REPARAR BOMBA DE AGUA Y REVISION DE MAQUINARIA MOVIL;11,5;0;01;16;4;28;01;005
800;03/08/2009;91;000156;DESPLAZAMIENTO A PLANTA PARA CAMBIO DE 2000 H. Y REVISAR MAQUINARIA MOVIL;20;0;01;16;4;28;01;005
800;13/08/2009;91;000158;DESPLAZAMIENTO A CANTERA , COMPROBACION Y CHEQUEO MOTOR;18;0;01;16;4;26;01;005
800;20/08/2009;91;000168;TRABAJOS EXTERIORES;10;0;01;16;4;32;01;005
800;24/08/2009;91;000169;DESPLAZAMIENTO A PLANTA PARA CAMBIO DE ACEITE Y FILTROS DE MANTENIMIENTO;8;0;01;16;4;30;01;005
800;24/08/2009;91;000170;DESPLAZAMIENTO ,  DESMONTAR TAPA , SOBRETAPA BALANCINES , COLECTOR , CARACOLA ESCAPE Y MONTAJE , COLOCACION DE JUNTAS;12;0;01;16;4;30;01;005
800;25/08/2009;91;000172;DESPLAZAMIENTO A PLANTA PARA DESMONTAJE DE CAZO PANTALLA. ;8;0;01;16;4;26;01;005
800;07/08/2009;91;000175;DESPLAZAMIENTO A FABRICA REVISION DE AIRE AC. Y REVISION DE MAQUINAS, SUSTITUIR FILTROS DE AIRE ;5;0;01;16;4;28;01;005
800;14/08/2009;91;000176;DESPLAZAMIENTO A FABRICA, CAMBIAR INTERRUPOR DE CAPO, REVISION DE 250 H Y MAQUINARIA MOVIL;16;0;01;16;4;28;01;005
800;19/08/2009;91;000177;DESPLAZAMIENTO A FABRICA, BUSCAR Y CORREGIR PERDIDAS DE AGUA, DESMONTAR BOMBAS PARA REPARAR EN TALLER Y COLOCAR UNA VEZ REPARADAS.;38;0;01;16;4;28;01;005
800;21/08/2009;91;000178;DESPLAZAMIENTO A FABRICA, CAMBIO DE 250 H. CAMBIAR CORREA Y REVISION DE MAQUINAS, LIMPIEZA GENERAL Y ENGRASE, SUSTITUIR TUBERIA ENGRASE;42;0;01;16;4;28;01;005
800;24/08/2009;91;000179;DESPLAZAMIENTO A FABRICA, CAMBIO DE FILTROS Y ACEITE 250 H. SUSTITUCION DE CORREA Y REVISION DE MAQUINARIA MOVIL;12;0;01;16;4;28;01;005
800;24/08/2009;91;000180;DESPLAZAMIENTO A FABRICA, CAMBIO DE ACEITE Y FILTROS 250 H Y REVISION DE NIVELES;6;0;01;16;4;28;01;005
101;27/08/2009;91;000183;DESPIECE DE MOTOR , LIMPIEZA DE PIEZAS Y MONTAJE DE MOTOR;100;0;01;16;4;28;01;005
800;30/08/2009;91;000184;DESMONTAR INYECTORES , MONTAJE Y AJUSTE DE LOS MISMO;18;0;01;16;4;30;01;005
800;10/07/2009;91;000186;DESMONTAR MOTOR DE MAQUINA Y COLOCACION UNA VEZ REPARADO;80;0;01;16;4;28;01;005
101;09/09/2009;91;000198;DESPLAZAMIENTO A FABRICA, ACOPLACION DE RADIADOR DE REFRIGERACION DE GASOIL Y TUBERIAS EN MAQUINA, PRUEBA DEL MISMO.;10;0;01;16;4;28;01;005
800;22/09/2009;91;000208;DESMONTAR MOTOR DE MAQUINA Y COLOCACION UNA VEZ REPARADO;80;0;01;16;4;26;01;005
101;22/09/2009;91;000208;DESPIECE DE MOTOR , LIMPIEZA , COLOCACION DE REPARACION Y MONTAJE;100;0;01;16;4;28;02;005
800;08/09/2009;91;000214;DESPLAZAMIENTO A FABRICA, CAMBIO DE 500 H Y REVISION DE LUCES;6;0;01;16;4;28;01;005
800;07/09/2009;91;000215;DESPLAZAMIENTO A FABRICA, CAMBIO DE 500 H. Y REVISION DE LA MAQUINARIA MOVIL;14;0;01;16;4;28;01;005
800;31/08/2009;91;000216;DESPLAZAMIENTO A FABRICA, REVISION DE BOMBA, DESMONTARLA PARA SU REPARACION EN TALLER Y MONTAJE UNA VEZ REPARADA;20;0;01;16;4;28;01;005
800;03/09/2009;91;000217;DESPLAZAMIETO A FABRICA, LOCALIZAR FALLO EN VELOCIDADES CON DIAGNOSIS, DESPLAZAMIENTO Y SUTITUCION DE INTERRUPTOR DE DIRECCION, LIMPIEZA DE FILTROS Y REVISION DE LUCES.;12;0;01;16;4;28;01;005
800;04/09/2009;91;000218;DESPLAZAMIENTO A FABRICA, REPARACION DE AIRE AC Y CARGA DEL MISMO;23;0;01;16;4;28;01;005
800;09/09/2009;91;000219;DESPLAZAMIENTO A FABRICA, CAMBIAR FAROS, REVISION DE MAQUINARIA MOVIL;16;0;01;16;4;28;01;005
101;29/09/2009;91;000221; DESPIECE DE MOTOR , LIMPIEZA Y REPARACION. ;100;0;01;16;4;30;01;005
101;06/10/2009;91;000230;SACAR MOTOR DE MAQUINA, DESPIECE DEL MISMO, LIMPIEZA, REPARACION Y MONTAJE EN MAQUINA;100;0;01;16;4;30;01;005
101;06/10/2009;91;000233;DESPIECE DE MOTOR , LIMPIEZA Y COLOCACION DE PIEZAS REPARACION Y MONTAJE ;160;0;01;16;4;28;01;005
101;06/10/2009;91;000233;DESPIECE DE CAJA , LIMPIEZA , MONTAJE DE RODAMIENTOS Y MONTAJE;20;0;01;16;4;28;02;005
801;12/10/2009;91;000239;DESMONTAR , COLOCACION DE NUEVAS Y AJUSTE;8;0;01;16;4;30;01;005
101;20/10/2009;91;000241;DESPIECE DE MOTOR , LIMPIEZA Y MONTAJE DE PIEZAS;100;0;01;16;4;26;01;005
101;26/10/2009;91;000245;DESPIECE DE MOTOR, LIMPIEZA Y REPARACION;100;0;01;16;4;30;01;005
101;30/10/2009;91;000246;DESPIECE DE BOMBA , MONTAJE DE MATERIAL Y PRUEBA EN EL BANCO DE LA BOMBA ;1;0;01;16;4;581,25;01;005
101;06/11/2009;91;000250;DESMONTAR BOMBAS , LIMPIEZA Y COLOCACION DE JUEGO REPARACION Y MONTAJE;20;0;01;16;4;26;01;005
101;20/11/2009;91;000257;DESPIECE DE MOTOR, LIMPIEZA Y COLOCACION DE PIEZAS, REPARACION Y MONTAJE;165;0;01;16;4;28;01;005
800;23/11/2009;91;000259;TRABAJOS EXTERIORES;15;0;01;16;4;28;01;005
101;04/12/2009;91;000270;DESPIECE DE MOTOR, LIMPIEZA Y COLOCACION DE PIEZAS, REPARACION Y MONTAJE;160;0;01;16;4;28;01;005
800;17/12/2009;91;000276;SUSTITUCION DE COMPRESOR DE A/A Y CARGA DE GAS;2;0;01;16;4;28;01;005
800;17/12/2009;91;000278;TRABAJOS EXTERIORES;30;0;01;16;4;30;01;005
800;17/12/2009;91;000279;TRABAJOS EXTERIORES;30;0;01;16;4;30;01;005
800;06/11/2009;93;000003;DESPLAZAMIENTO A CANTERA , DESMONTAR MONITOR , COLOCACION DE NUEVO Y AJUSTE DEL MISMO;2;0;01;16;4;30;01;005
800;27/01/2010;11;000005;DESPLAZAMIENTO A CANTERA , COMPROBACION DE TURBO , DESMONTAR TURBO , COLOCACION DE NUEVO Y JUNTAS. DESMONTAR MANDOS PALAS COLOCACION JUEGO REPARACION Y MONTAJE;9;0;01;16;4;28;01;005
800;27/01/2010;11;000006;DESPLAZAMIENTO A CANTERA , COMPROBACION DE TURBO , DESMONTAR TURBO , COLOCACION DE NUEVO Y JUNTAS. DESMONTAR MANDOS PALAS COLOCACION JUEGO REPARACION Y MONTAJE;9;0;01;16;4;28;01;005
101;03/02/2010;11;000009;SACAR TRANSMISON , CAJA TRANSFE , ENFRIADOR DE MAQUINA , DESPICE , LIMPIEZA , COLOCACION JUEGO REPARACION , Y MONTAJE EN MAQUINA UNA VEZ REPARADADO;160;0;01;16;4;28;01;005
800;03/02/2010;11;000010;DESPLAZAMIENTO A FABRICA , QUITAR CARENAJES , MOTOR TRANSMISION PARA SU REPARACION EN TALLER Y MONTAJE UNA VEZ REPARADA;120;0;01;16;4;28;01;005
101;03/02/2010;11;000010;DESPIECE TRANSMISION , LIMPIEZA , COLOCACION JUEGO REPARACION Y MONTAJE;90;0;01;16;4;28;02;005
800;05/02/2010;11;000012;DESPLAZAMIENTO  PARA DESMONTAR RUEDAS, TRAERLAS AL TALLER , SUSTITUIR LAS CUBIERTAS MACIZAS , MONTAJE EN  LA CARRETILLA EN LA PLANTA, E INSTALACION DE AVISADOR , ASIENTO , CINTURON Y ESPEJOS.;11;0;01;16;4;28;01;005
800;09/02/2010;11;000014;DESPLAZAMIENTO A PLANTA , DESMONTAR MANDO , COLOCACION DE JUEGO DE REPARACION , AJUSTE Y MONTAJE;3;0;01;16;4;28;01;005
101;18/02/2010;11;000018;LIMPIEZA DE MAQUINA , COMPROBACION DE PRESIONES DE MAQUINA;6;0;01;16;4;30;01;005
101;18/02/2010;11;000018;DESMONTAR BOMBA , DESPIECE , LIMPIEZA , COLOCACION JUEGO REPARACION AJUSTE MONTAJE, COLOCACION EN MAQUINA Y COMPROBACION DE PRESIONES;45;0;01;16;4;30;02;005
101;18/02/2010;11;000018;DESMONTAR ROTOR , DESPIECE , COLOCACION JUEGO REPARACION Y MONTAJE;10;0;01;16;4;30;03;005
101;18/02/2010;11;000018;DESMONTAR VALVULA , LIMPIEZA , DESMONTAR JUNTAS , COLOCACION DE NUEVAS AJUSTE Y MONTAJE;10;0;01;16;4;30;04;005
101;18/02/2010;11;000018;DESMONTAR BOMBA DE AGUA , COLOCACION NUEVA;2;0;01;16;4;30;05;005
101;18/02/2010;11;000019;LIMPIEZA DE MAQUINA , COMPROBACION DE PRESIONES DE MAQUINA;6;0;01;16;4;30;01;005
101;18/02/2010;11;000019;DESMONTAR BOMBA , DESPIECE , LIMPIEZA , COLOCACION JUEGO REPARACION AJUSTE MONTAJE , COLOCACION EN MAQUINA Y COMPROBACION DE PRESIONES;45;0;01;16;4;30;02;005
101;18/02/2010;11;000019;DESMONTAR ROTOR , DESPIECE , COLOCACION JUEGO REPARACION Y MONTAJE;10;0;01;16;4;30;03;005
101;18/02/2010;11;000019;DESMONTAR VALVULAS , LIMPIEZA , DESMONTAR JUNTAS , COLOCACION DE NUEVAS AJUSTE Y MONTAJE;10;0;01;16;4;30;04;005
101;18/02/2010;11;000019;DESMONTAR BOMBA DE AGUA , COLOCACIO NUEVA;2;0;01;16;4;30;05;005
800;24/02/2010;11;000023;DESPLAZAMIENTO A PLANTA , DESMONTAR TAPA , INYECTORES , COLOCACION DE NUEVOS MONTAJE Y AJUSTE DE LOS MISMO;5;0;01;16;4;30;01;005
101;24/02/2010;11;000022;DESMONTAR ESCAPE Y COLOCACION DE NUEVO;2;0;01;16;4;30;01;005
101;25/02/2010;11;000024;DESPIECE DE MOTOR , LIMPIEZA , COLOCACION DE JUEGOS REPARACION Y MONTAJE;90;0;01;16;4;30;01;005
800;08/03/2010;11;000038;DESPLAZAMIENTO A CANTERA , DESMONTAR EMBRAGUE , REPARACION , COLOCACION DE EMBRAGUE Y MONTAJE;26;0;01;16;4;28;01;005
800;15/03/2010;11;000042;DESPLAZAMIENTO A ALCALA , DESMONTAR I-ECU , COLOCACION DE NUEVA Y SOFTWARE DE LA MISMA;3;0;01;16;4;29;01;005
101;16/03/2010;11;000043;DESMONTAR INYECTORES , DESPIECE , COLOCACION DE TOBERA Y AJUSTE DE LOS MISMO EN BANCO;2;0;01;16;4;30;02;005
800;17/03/2010;11;000045;DESPLAZAMIENTO A SUS INSTALACIONES , DESMONTAR I-ECU , COLOCACION DE NUEVA Y SOFTWARE DE LA MISMA;2;0;01;16;4;28;01;005
800;06/04/2010;11;000053;TRABAJOS EXTERIORES;12;0;01;16;4;28;01;005
800;06/04/2010;11;000054;TRABAJOS EXTERIORES;12;0;01;16;4;28;01;005
800;06/04/2010;11;000055;TRABAJOS EXTERIORES;15;0;01;16;4;28;01;005
800;08/04/2010;11;000057;DESMONTAR CADENA , RUEDA GUIA , COLOCACION DE NUEVA Y MONTAJE;24;0;01;16;4;28;01;005
800;09/04/2010;11;000059;DESPLAZAMIENTO A PLANTA , DESMONTAR CARENAJE , BOMBA HIDRAULICA , RETEN , COLOCACION DE NUEVO Y MONTAJE DE LOS MISMO;10;0;01;16;4;30;01;005
800;19/04/2010;11;000064;MANO DE OBRA CAMBIOS FILTROS Y ACEITES;6;0;01;16;4;28;01;005
101;19/04/2010;11;000065;DESPIECE DE MOTOR , LIMPIEZA DE PIEZAS Y MONTAJE DE MOTOR;100;0;01;16;4;28;01;005
800;22/04/2010;11;000071;DESPLAZAMIENTO PARA COMPROBACION DE AVERIA;8;0;01;16;4;32;01;005
800;22/04/2010;11;000072;DESPLAZAMIENTO A PLANTA , CAMBIO DE FILTRO Y ACEITE 250 H.;1;0;01;16;4;157,8;01;005
800;26/04/2010;11;000073;DESPLAZAMIENTO A PLANTA , DESMONTAR BOMBA Y COLOCACION DE NUEVA;2;0;01;16;4;30;01;005
