CODALM;CODPDT;LOCALIZ;SISVAL;PVP1;PVP2;PVP3;PVP4;PVP5;PRESTA;PREULT;PREMED;CANEXI;CODPRV;STOCKMIN;STOCKMAX
01;3H5175;01030202;M;0;0;0;0;0;0;0;0;0;3;0;0
01;1H8890;E;M;0;0;0;0;0;0;0;0;0;3;0;0
01;8H9364;01030203;M;1,09;1,09;1,09;1,09;0,93;0;0;0,6;0;3;0;0
01;7H2783;01030203;M;0;0;0;0;0;0;0;0;0;3;0;0
01;7J8114;01030204;M;2,88;0;2,88;0;0;0;0;0;0;2;0;0
01;7J7598;01030204;M;0;0;0;0;0;0;0;0;0;3;0;0
01;3K3257;01030301;M;2,46;0;2,46;0;0;0;0;0;0;2;0;0
01;7L0552;01030302;M;3,54;2,95;3,54;0;3,54;0;0;0,91333;0;3;0;0
01;6L1884;01030302;M;0;0;0;0;0;0;0;0;0;3;0;0
01;2M5117;01030303;M;0;0;0;0;0;0;0;0;0;3;0;0
01;638-02-04;050303;M;1,05177;0;0;0;0;0;0;0,26104;40;00001;6;12
01;1M9634;01030303;M;0;0;0;0;0;0;0;0;0;3;0;0
01;5M3112;01030401;M;0;0;0;0;0;0;0;0;0;3;0;0
01;5M3107;01030401;M;0;0;0;0;0;0;0;0;0;3;0;0
01;9M2132;01030402;M;0;0;0;0;0;0;0;0;0;3;0;0
01;9M9232;01030402;M;0;0;0;0;0;0;0;0;0;3;0;0
01;8M6441;01030401;M;0;0;0;0;0;0;0;0;0;3;0;0
01;4N9337;01030501;M;0;0;0;0;0;0;0;0;0;3;0;0
01;4N9056;01030501;M;4,43547;0;0;0;0;0;0;0;0;2;0;0
01;4N5994;01030501;M;0;0;0;0;0;0;0;0;0;3;0;0
01;4N4431;01030501;M;0;0;0;0;0;0;0;0;0;3;0;0
01;4N4307;01030501;M;0;0;0;0;0;0;0;0;0;3;0;0
01;4N3933;01030501;M;2,65;2,65;2,65;2,65;2,65;0;1,77;1,77;0;2;0;0
01;4N2565;01030501;M;0;0;0;0;0;0;0;0;0;3;0;0
01;4N1551;01030501;M;0;0;0;0;0;0;0;0;0;3;0;0
01;4N0659;07050301;M;1,4;0;2,71;0;0;0;0,48;0,48;1;2;0;0
01;4N0509;01030501;M;0;0;0;0;0;0;0;0;0;3;0;0
01;4N0450;01020503;M;0;0;0;0;0;0;0;0;0;3;0;0
01;4N0403;01030501;M;0;0;0;0;0;0;0;0;0;3;0;0
01;4N0402;01030501;M;0;0;0;0;0;0;0;0;0;3;0;0
01;4N0159;01030501;M;0;0;0;0;0;0;0;0;0;3;0;0
01;4N0117;01030501;M;1,37632;0;0;0;0;0;0;0,61303;-1;2;0;0
01;1N3943;01030501;M;0;0;0;0;0;0;0;0;0;3;0;0
01;7N9529;01030502;M;0;0;0;0;0;0;0;0;0;3;0;0
01;6N8190;01030502;M;0;0;0;0;0;0;0;0;0;3;0;0
01;6P5640;01030601;M;0;0;0;0;0;0;0;0;0;3;0;0
01;3P1605;01030601;M;0;0;0;0;0;0;0;0;0;3;0;0
01;2P8746;100402P;M;0;0;0;0;0;0;0;0;0;3;0;0
01;2P4305;01030601;M;0;0;0;0;0;0;0;0,11429;0;3;0;0
01;5S9611;01030602;M;0;0;0;0;0;0;0;0;0;3;0;0
01;5S6047;01030602;M;2,64445;0;0;0;0;0;0;0,8;0;2;0;0
01;9S7042;01030701;M;0;0;0;0;0;0;0;0;0;3;0;0
01;8S1982;01030701;M;1,95;0;1,95;0;1,73;0;0;0,69;0;2;0;0
01;7S8622;01030701;M;0;0;0;0;0;0;0;0;0;3;0;0
01;7S6744;01030701;M;0;0;0;0;0;0;0;0;0;3;0;0
01;9W0227;01030703;M;0;0;0;0;0;0;0;0;0;3;0;0
01;4W5447;01030703;M;0;0;0;0;0;0;0;0;0;3;0;0
01;4W1874;01030703;M;0;0;0;0;0;0;0;0;0;3;0;0
01;9Y6860;01030704;M;0;0;0;0;0;0;0;0;0;3;0;0
01;9Y3595;07050403;M;0;0;0;0;0;0;0,21;0,20667;3;3;0;0
01;2F6678;01050103;M;0;0;0;0;0;0;0;0;0;3;0;0
01;3G1797;01040201;M;0;0;0;0;0;0;0;0;0;3;0;0
01;0G9520;01040201;M;0;0;0;0;0;0;0;0;0;3;0;0
01;9H8639;01040202;M;0;0;0;0;0;0;0;0;0;3;0;0
01;9H0858;01040202;M;0;0;0;0;0;0;0;0;0;3;0;0
01;8H9180;01040202;M;3,1;0;3,1;0;0;0;0;0;0;2;0;0
01;8H9155;01040202;M;22,09;0;22,09;0;19,88;0;0;7,175;0;2;0;0
01;4H1723;01040202;M;9,74;7,44;0;0;0;0;8,12;8,12;0;3;0;0
01;2H5021;01040202;M;0;0;0;0;0;0;0;0;0;3;0;0
01;9J7730;01050202;M;0;0;0;0;0;0;0;0;0;3;0;0
01;7J7732;01050202;M;0;0;0;0;0;0;0;0;0;3;0;0
01;4J8979;01050202;M;0;0;0;0;0;0;0;0;0;3;0;0
01;4J3515;01050202;M;0;0;0;0;0;0;0;0;0;3;0;0
01;3J0365;01050202;M;0;0;0;0;0;0;0;0;0;3;0;0
01;2J8332;01050202;M;0;0;0;0;0;0;0;0;0;3;0;0
01;2J7764;01050202;M;0;0;0;0;0;0;0;0;0;3;0;0
01;7K9207;01040301;M;0;0;0;0;0;0;0;0;0;3;0;0
01;6K2130;01040301;M;0;0;0;0;0;0;0;0;0;3;0;0
01;1K6981;01040301;M;5,12;0;5,12;0;0;0;0;1,715;0;64;0;0
01;1K6282;01040301;M;0;0;0;0;0;0;0;0;0;3;0;0
01;7K9213;01040301;M;0;0;0;0;0;0;0;0;0;3;0;0
01;9M7432;01050301;M;4,95835;0;0;0;0;0;0;0;0;2;0;0
01;7M4236;01050301;M;8,45;0;8,45;0;0;0;0;0;0;2;0;0
01;7M9204;01050301;M;0;0;0;0;0;0;0;0;0;3;0;0
01;5M9739;01050301;M;0;0;0;0;0;0;0;1,2;1;3;0;0
